2018-05-02 01:59:52,aintnoholdupYe,U a trump supporter https:// twitter.com/kanyewest/stat us/991466055947071488 …,,
2018-05-02 01:59:52,MikeEatsMiami,The job pays him. As a senator there are multiple opportunities to earn. His history of fraudulent credit card use while in the FL House. Lies about his family history in published book. His effort at creating an image drives him like it drives Trump .,,
2018-05-02 01:59:52,MondeWill,@JoeTalkShow Trump 's like the juggler spinning the plates while the liberals & Swamplicans are throwing rotten eggs. Love your show on News Max!!,,
2018-05-02 01:59:52,BlueJ5G,"The biggest LEAKER in the White House is your @POTUS Donald Trump sadly New Yorkers knew of his underlying ties to illegal money, bullying, exaggerating, racist views and mostly Trumps habits of calling FAKE NEWSPAPERS disguising his voice LYING about his wealth. #JAILTIME",#JAILTIME,
2018-05-02 01:59:51,56jakesmom,,,
2018-05-02 01:59:51,PhoebeHogan666,"Kanye West is obviously doing all this rubbish for publicity, same as Trump . Best to laugh it off, because they definitely are.",,
2018-05-02 01:59:51,LasloBertram,"#Trump Rulez!!! babay!!! You two love each other, anyway...see: Trump and Rosie sittin' in a tree.... pic.twitter.com/LtHWXQbvlt",#Trump,
2018-05-02 01:59:51,Zotopek,A Russian University professor gave the best description of #Trump to date a man with a chaotic mind.,#Trump,
2018-05-02 01:59:51,natbotkov,Yes. The things you have been doing are unthinkable.,,
2018-05-02 01:59:51,jmach826,Trump called black athletes “sons of bitches” for using their voices in the fall. What changed?,,
2018-05-02 01:59:51,Flo_kater,"You’re afraid of mueller, admit it. You’re too afraid to talk to him and too big of a coward. If not, and if you had nothing to hide, you’d sit down and talk. That’s also why you have the losers @HouseGOP do all of the work to discredit it. You act tough but are afraid!!",,
2018-05-02 01:59:51,Diztract,"Hands off AG Rod Rosenstein! If you or @HouseGOP touches Mr. Rosenstein, you will start Civil War II! We trust Mr. Rosenstein. Let him do his job! If you did nothing wrong, you have nothing to hide & nothing to worry about! https:// twitter.com/cspan/status/9 91393309766582272?s=21 …",,
2018-05-02 01:59:51,therealtonyleo,"MVP still trumps anything else. MVP and ROY in the same year is more impressive. And 500 stolen bases, too.",,
2018-05-02 01:59:50,KnowledgeStart,Worry about what Trump is going to do to democracy's standing in the world when he will abdicate it and welcome torture murder and oppression as legitimate form of government.,,
2018-05-02 01:59:50,eagleflyer77,@realDonaldTrump We need LOWER gas prices. We shouldn't have to pay more during the summer because suppliers artificially inflate them because they are able to get away with it.,,
2018-05-02 01:59:50,TNevilleLong,@kanyewest . @realDonaldTrump 's doctor. #MuellerQuestions . et cetera et cetera et cetera #FFS it's only #Tuesday . pic.twitter.com/lfRknA8Dfj,#MuellerQuestions #FFS #Tuesday,
2018-05-02 01:59:50,BooVay7,""" Trump 's former doctor says the president's records were taken in 'raid'"" https:// twitter.com/i/events/99139 3219429593088 …",,
2018-05-02 01:59:50,stmorris1969,"Mueller needs to be left alone to do his job, Jesus, trump got the questions in advance, what lawyer does that? Let the chips fall where they may and be done with it.",,
2018-05-02 01:59:50,LizFranchini,You kill it ever time Candace!! Go Girl!!,,
2018-05-02 01:59:50,HarmoniDL,Did anyone doubt this? I thought we all knew trump and the good Dr were lying all along. https://www. facebook.com/story.php?stor y_fbid=2068848143129801&id=100000139068754 …,,
2018-05-02 01:59:50,MarkJamesbass2,"Rod Rosenstein, under fire from Trump , sees no threat to the rule of law. https://www. huffingtonpost.com/entry/rod-rose nstein-donald-trump-robert-mueller-doj_us_5ae8a798e4b02baed1be9e28 …",,
2018-05-02 01:59:49,three_maries,pic.twitter.com/dttCBMjrBI,,
2018-05-02 01:59:49,Hummingbird_75,"I don't believe those will be all of the questions, or not the questions at all ! @realDonaldTrump even so, wait for question 50 and beyond because you have no clue of the Justice System, et al. (I wont give you hints), oh ya....Tell Truth, I see you lie to often ! https:// twitter.com/MSNBC/status/9 91396046034145281 …",,
2018-05-02 01:59:49,rleon510,Poor ned... pic.twitter.com/Zr8Q2nsS9W,,
2018-05-02 01:59:49,InequalityIsBad,I hope that #Mueller is taking note of everyone who has seen classified information without a clearance. Each individual instance is a crime punishable by a prison sentence. LOL Trump could get 100 years just for this! pic.twitter.com/bYriCIWRh0,#Mueller,
2018-05-02 01:59:49,ComeOnMidTerms,pic.twitter.com/KvuS1uArRO,,
2018-05-02 01:59:49,kcismek37,"This is news? Israel claims Iran is cheating, NK peace talks, and we are talking about WHCD and some doctor who said trump told him what to say, not that he is not healthy just he told me to right it.",,
2018-05-02 01:59:49,SusanTh05499045,VP Pence you are one sick puppy. Arpaio? Really? Are you encouraging Trump so that maybe you'll become prez by default? Despicable.,,
2018-05-02 01:59:48,realDTrumpBR,É meu!,,
2018-05-02 01:59:48,kimgnagy,@LukeMesserIN - You have lost my vote due to negative campaigning and hitching your wagon to Trump . Bad news. We do not need any more toxicity in Washington.,,
2018-05-02 01:59:48,ofTimeSpace,He conned you...have you no self respect?,,
2018-05-02 01:59:48,sbowers00,"Remember also how Trump and Cook never mentioned buybacks or dividends before tax reform was passed, but instead promised the billions would be spent on creating Apple jobs in America. https://www. icij.org/blog/2018/02/w hat-to-look-for-from-apples-big-updates-this-month/ …",,
2018-05-02 01:59:48,ivorycomm1,Texas Sues Trump Administration To End DACA https://www. huffingtonpost.com/entry/texas-su es-government-daca_us_5ae8dface4b022f71a02ca5d?t9o …,,
2018-05-02 01:59:48,RichSr5,Black Americans don't be angry who's going to put more money in your pocket Trump or the dams remember your taxes will go up if you vote Democrat https:// twitter.com/larryelder/sta tus/991453689805131776 …,,
2018-05-02 01:59:48,Amirzabijan,"Just shut the F up you idiot. You failed writer and your boss destroyed Middle East, many lives has been lost in Syria and in Iran because of your idiocy. President Trump is cleaning your mess. Just shut the F up. https:// twitter.com/brhodes/status /991372656627896321 …",,
2018-05-02 01:59:48,jpalmer79,Investigating is attempting to determine if justice measures are needed. You obstructed justice by attempting to obstruct said investigation. #TrumpIdiot,#TrumpIdiot,
2018-05-02 01:59:47,Jose_CRibeiro,"Trump holding back is not using the word ""bigly""",,
2018-05-02 01:59:47,nevergop33,@realDonaldTrump @GOP https:// twitter.com/SpockResists/s tatus/991445501072543744 …,,
2018-05-02 01:59:47,quadaintshit,i have never seen so many people react to one thing lol trump doesn’t even get this much attention,,
